ID,X,Y
0,536081.362639066,631024.3268858816
0,536130.085846873,631017.6122868222
1,536032.5618072185,631023.4990261915
1,536075.34822699,631024.6936045007
2,536080.6800350322,631019.3736998631
2,536081.6053717677,631004.1152826537
3,536136.9518718717,630951.6633258649
3,536142.4926374903,631008.9124038595
4,536148.3030614344,631017.0445853878
4,536173.9081457919,631021.5582161708
5,536081.8724057539,631004.1630146923
5,536129.4032428393,631012.6591008039
6,536188.4911993647,631094.2095846502
6,536189.7924368615,631078.7426025849
7,536080.2445404369,630950.591446987
7,536136.2144054311,630951.1269837255
8,536142.1304221551,630946.183361102
8,536145.2643669421,630927.820589556
9,536075.252169736,630950.918469612
9,536076.6875942461,630998.1569853079
10,536036.4291452785,630947.4930533307
10,536074.710991711,630950.3528339886
11,536181.5256086437,631024.1158264362
11,536184.8335619415,631073.317463053
12,536190.2009208173,631078.6135714297
12,536283.5799297728,631083.6392442284
13,536193.2180715504,631022.9033801055
13,536287.8262665661,631029.4939560329
